Player,Team 2008,Base.P 2008,Auction.P 2008,Nationality,Speciality
Shane Warne,Rajasthan Royals,450,450,Australia,Bowler
Mahendra Singh Dhoni,Chennai Super Kings,400,1500,India,Wicketkeeper
Adam Gilchrist,Deccan Chargers,300,700,Australia,Wicket keeper
Shoaib Akhtar,Kolkata Knight Riders,250,425,Pakistan,Bowler
Mahela Jayawardene,Kings XI Punjab,250,475,Sri Lanka,Batsman
Muttiah Muralitharan,Chennai Super Kings,250,600,Sri Lanka,Bowler
Anil Kumble,Royal Challengers Bangalore,250,500,India,Bowler
Glenn McGrath,Delhi Daredevils,350,350,Australia,Bowler
Mohammed Yousuf,Unsold,350,,Pakistan,Batsman
Harbhajan Singh,Mumbai Indians,250,850,India,Bowler
Sanath Jayasuriya,Mumbai Indians,250,975,Sri Lanka,Allrounder
Kumar Sangakkara,Kings XI Punjab,250,700,Sri Lanka,Wicketkeeper-batsman
Ricky Ponting,Kolkata Knight Riders,335,400,Australia,Batsman
Brett Lee,Kings XI Punjab,300,900,Australia,Bowler
Andrew Symonds,Deccan Chargers,250,1350,Australia,Allrounder
Michael Hussey,Chennai Super Kings,250,250,Australia,Batsman
Daniel Vettori,Delhi Daredevils,250,625,New Zealand,Bowler
Matthew Hayden,Chennai Super Kings,225,375,Australia,Batsman
Brendon McCullum,Kolkata Knight Riders,175,700,New Zealand,Wicketkeeper
Jacob Oram,Chennai Super Kings,200,675,New Zealand,Allrounder
Stephen Fleming,Chennai Super Kings,350,350,New Zealand,Batsman
Graeme Smith,Rajasthan Royals,250,250,South Africa,Batsman
Herschelle Gibbs,Deccan Chargers,250,575,South Africa,Batsman
Chris Gayle,Kolkata Knight Riders,250,800,West Indies,Allrounder
Shoaib Malik,Delhi Daredevils,300,500,Pakistan,Allrounder
Shahid Afridi,Deccan Chargers,225,675,Pakistan,Allrounder
Younis Khan,Rajasthan Royals,225,225,Pakistan,Batsman
Mohammad Asif,Delhi Daredevils,225,650,Pakistan,Bowler
Jacques Kallis,Royal Challengers Bangalore,225,900,South Africa,Allrounder
Zaheer Khan,Royal Challengers Bangalore,200,450,India,Bowler
Sreesanth,Kings XI Punjab,200,625,India,Bowler
Dinesh Karthik,Delhi Daredevils,200,525,India,Wicketkeeper
AB de Villiers,Delhi Daredevils,200,300,South Africa,Wicketkeeper
Mark Boucher,Royal Challengers Bangalore,200,450,South Africa,Wicketkeeper
Parthiv Patel,Chennai Super Kings,150,325,India,Wicketkeeper
Kamran Akmal,Rajasthan Royals,150,150,Pakistan,Wicketkeeper
Tatenda Taibu,Kolkata Knight Riders,125,125,Zimbabwe,Wicketkeeper
Albie Morkel,Chennai Super Kings,225,675,South Africa,Allrounder
Ajit Agarkar,Kolkata Knight Riders,200,350,India,Allrounder
Shaun Pollock,Mumbai Indians,200,550,South Africa,Allrounder
Irfan Pathan,Kings XI Punjab,200,925,India,Allrounder
Scott Styris,Deccan Chargers,175,175,New Zealand,Allrounder
Farveez Maharoof,Delhi Daredevils,150,225,Sri Lanka,Allrounder
Tillakaratne Dilshan,Delhi Daredevils,152,250,Sri Lanka,Allrounder
Cameron White,Royal Challengers Bangalore,100,500,Australia,Allrounder
Yusuf Pathan,Rajasthan Royals,100,475,India,Allrounder
Joginder Sharma,Chennai Super Kings,100,225,India,Allrounder
Ramnaresh Sarwan,Kings XI Punjab,225,225,West Indies,Batsman
Simon Katich,Kings XI Punjab,200,200,Australia,Batsman
Justin Langer,Rajasthan Royals,200,200,Australia,Batsman
Gautam Gambhir,Delhi Daredevils,220,725,India,Batsman
Robin Uthappa,Mumbai Indians,200,800,India,Batsman
Shivnarine Chanderpaul,Royal Challengers Bangalore,200,200,West Indies,Batsman
Ashwell Prince,Unsold,175,,South Africa,Batsman
VVS Laxman,Deccan Chargers,150,375,India,Batsman
Wasim Jaffer,Royal Challengers Bangalore,150,150,India,Batsman
Rohit Sharma,Deccan Chargers,150,750,India,Batsman
Loots Bosman,Mumbai Indians,150,175,South Africa,Batsman
Mohammad Kaif,Rajasthan Royals,125,675,India,Batsman
Suresh Raina,Chennai Super Kings,125,650,India,Batsman
Manoj Tiwary,Delhi Daredevils,100,675,India,Batsman
Chamara Silva,Deccan Chargers,100,100,Sri Lanka,Batsman
David Hussey,Kolkata Knight Riders,100,625,Australia,Batsman
Nathan Bracken,Royal Challengers Bangalore,225,325,Australia,Bowler
R P Singh,Deccan Chargers,200,875,India,Bowler
Murali Kartik,Kolkata Knight Riders,200,425,India,Bowler
Makhaya Ntini,Chennai Super Kings,200,200,South Africa,Bowler
Lasith Malinga,Mumbai Indians,200,350,Sri Lanka,Bowler
Chaminda Vaas,Deccan Chargers,200,200,Sri Lanka,Bowler
Ramesh Powar,Kings XI Punjab,150,170,India,Bowler
Umar Gul,Kolkata Knight Riders,150,150,Pakistan,Bowler
Dale Steyn,Royal Challengers Bangalore,150,325,South Africa,Bowler
Dilhara Fernando,Mumbai Indians,150,150,Sri Lanka,Bowler
Ishant Sharma,Kolkata Knight Riders,150,950,India,Bowler
Piyush Chawla,Kings XI Punjab,125,400,India,Bowler
Munaf Patel,Rajasthan Royals,100,275,India,Bowler
Nuwan Zoysa,Deccan Chargers,100,110,Sri Lanka,Bowler
